Symbol,Weight,Beta,CSD
IBM,0.0044697131855103754,0.5013109937224733,3.7494050677888163e-6
TXN,0.009648102317257299,1.2453220896483197,1.4049505326837128e-5
ADP,0.008333632677431963,0.8644562721548659,1.2594472438849633e-5
GOOG,0.024010028388225614,1.4112270781480556,1.409608208362609e-5
ORCL,0.01585770286808367,1.0605061365132256,1.3941292637522744e-5
BSX,0.004421088819498373,0.5356472909971592,1.1092951464485553e-5
UNH,1.4486917536803539e-5,0.2838168366897319,-3.4264490972484534e-8
TMUS,0.011774699473280156,0.37368222523151823,9.869892356435965e-6
SYK,0.005224321364694943,0.8362886783388864,1.2366073988441723e-5
GS,0.007042854048736846,1.0670898358062404,1.3575651438458842e-5
UBER,0.008512017742576383,1.3999973679196074,1.3739363032306509e-5
AVGO,0.0067164743182952635,1.476309315322012,1.5164808906399185e-5
MMC,0.019979457112257355,0.7073273158938478,1.5153722329727868e-5
CSCO,0.010195801777386132,0.7583115134595929,1.2254440313276078e-5
PLTR,0.0031021705645680095,2.712818161437847,1.5196214611075693e-5
MA,0.0133866711380483,0.8836858522816161,1.347673263251185e-5
C,0.004548543981649392,1.1213166955669363,1.3418648877608103e-5
BKNG,0.004763371433538179,1.0093863580788187,1.1611051827411452e-5
MCD,0.010234200080773366,0.5058694235976641,1.086947273735543e-5
LOW,0.014654771305420776,1.070778690318284,1.3981643051815456e-5
HD,0.01240499163909534,1.0312994745498714,1.3400931243418616e-5
INTU,0.005796395508544545,1.5438341034979666,1.5217923995277525e-5
LRCX,0.006801688366292291,1.659387186387933,1.4402505991851975e-5
KKR,0.007084255414122674,1.7080978970252745,1.6033011753338598e-5
COST,0.010626065088732168,0.8108874162144808,1.2606854445030142e-5
NEE,0.009000305975166203,0.7151913709625748,1.4581774171214566e-5
ABBV,0.007174043454443958,0.21235234522261098,9.562312112215299e-6
TSLA,0.01672002637103711,2.2098089354936543,1.5221509966329814e-5
MSFT,7.217605270267526e-6,1.1696828566576942,-3.884275349998827e-8
PEP,0.012706837885355126,0.37674765134938376,1.0061274474621873e-5
CB,0.010390325247732896,0.4598258845609827,1.2695226735118173e-5
PANW,0.009362720859681697,1.1724758651884601,1.3305616800063976e-5
BLK,0.008172714337987814,1.2432915072441553,1.4185092389134756e-5
